id_1,nome_1,id_2,nome_2,distanza_km
F01,Farmacia Comunale 1 – Piazza Municipio,F02,Farmacia Comunale 2 – Via Bologna,1.334236381622919
F01,Farmacia Comunale 1 – Piazza Municipio,F03,Farmacia Comunale 3 – Via Modena,1.8755003834031907
F01,Farmacia Comunale 1 – Piazza Municipio,F04,Farmacia Andreotti – Corso Giovecca,0.288954371384238
F01,Farmacia Comunale 1 – Piazza Municipio,F05,Farmacia Bagni – Via Garibaldi,0.2251600056707184
F01,Farmacia Comunale 1 – Piazza Municipio,F06,Farmacia Bonora – Via Cavour,0.3888025465025841
F01,Farmacia Comunale 1 – Piazza Municipio,F07,Farmacia Caleffi – Via Rampari,0.9132211131910803
F01,Farmacia Comunale 1 – Piazza Municipio,F08,Farmacia Casetti – Viale Po,1.4872767412359005
F01,Farmacia Comunale 1 – Piazza Municipio,F09,Farmacia Dallari – Via Ariosto,0.7184023966116873
F01,Farmacia Comunale 1 – Piazza Municipio,F10,Farmacia Del Dosso – Via Darsena,1.547195768855968
F01,Farmacia Comunale 1 – Piazza Municipio,F11,Farmacia Fantoni – Via Comacchio,2.255976245205644
F01,Farmacia Comunale 1 – Piazza Municipio,F12,Farmacia Forti – Corso Porta Reno,0.5611189782291715
F01,Farmacia Comunale 1 – Piazza Municipio,F13,Farmacia Frizzi – Via Frizzi,1.017387943709428
F01,Farmacia Comunale 1 – Piazza Municipio,F14,Farmacia Mastellari – Via Ripagrande,1.137436634098517
F01,Farmacia Comunale 1 – Piazza Municipio,F15,Farmacia Mazzini – Piazza Mazzini,0.6815895088192375
F01,Farmacia Comunale 1 – Piazza Municipio,F16,Farmacia Modonesi – Via Palestro,1.5434841122752925
F01,Farmacia Comunale 1 – Piazza Municipio,F17,Farmacia Paolini – Via Porta San Pietro,0.7587520307815929
F01,Farmacia Comunale 1 – Piazza Municipio,F18,Farmacia Raveri – Via Ravenna,2.1864213896966684
F01,Farmacia Comunale 1 – Piazza Municipio,F19,Farmacia Riminaldi – Viale Cavour,0.1225240265871743
F01,Farmacia Comunale 1 – Piazza Municipio,F20,Farmacia Rinaldi – Via Kennedy,2.068432930149575
F01,Farmacia Comunale 1 – Piazza Municipio,F21,Farmacia Rossi – Via Piangipane,1.818041585707067
F01,Farmacia Comunale 1 – Piazza Municipio,F22,Farmacia Samaritana – Piazza Ariostea,0.8546607869963522
F01,Farmacia Comunale 1 – Piazza Municipio,F23,Farmacia Sant'Anna – Via Boschetto,2.0736059243453853
F01,Farmacia Comunale 1 – Piazza Municipio,F24,Farmacia Scandurra – Via Porta Mare,0.5308300510759975
F01,Farmacia Comunale 1 – Piazza Municipio,F25,Farmacia Tondini – Via Ferrarese,1.6744692467314377
F01,Farmacia Comunale 1 – Piazza Municipio,F26,Farmacia Ventura – Via Pontegradella,1.912617776692472
F01,Farmacia Comunale 1 – Piazza Municipio,F27,Farmacia Vigna – Viale Risorgimento,0.3014899423196722
F01,Farmacia Comunale 1 – Piazza Municipio,F28,Farmacia Zanella – Via Boccaleone,2.5460123878710466
F02,Farmacia Comunale 2 – Via Bologna,F03,Farmacia Comunale 3 – Via Modena,1.0776315644543408
F02,Farmacia Comunale 2 – Via Bologna,F04,Farmacia Andreotti – Corso Giovecca,1.6147305234771026
F02,Farmacia Comunale 2 – Via Bologna,F05,Farmacia Bagni – Via Garibaldi,1.1099776957956564
F02,Farmacia Comunale 2 – Via Bologna,F06,Farmacia Bonora – Via Cavour,1.0937845485508508
F02,Farmacia Comunale 2 – Via Bologna,F07,Farmacia Caleffi – Via Rampari,2.232946171355573
F02,Farmacia Comunale 2 – Via Bologna,F08,Farmacia Casetti – Viale Po,2.142132156444467
F02,Farmacia Comunale 2 – Via Bologna,F09,Farmacia Dallari – Via Ariosto,1.322271523794234
F02,Farmacia Comunale 2 – Via Bologna,F10,Farmacia Del Dosso – Via Darsena,2.875181213534443
F02,Farmacia Comunale 2 – Via Bologna,F11,Farmacia Fantoni – Via Comacchio,3.5831121267223085
F02,Farmacia Comunale 2 – Via Bologna,F12,Farmacia Forti – Corso Porta Reno,1.7407480740798629
F02,Farmacia Comunale 2 – Via Bologna,F13,Farmacia Frizzi – Via Frizzi,0.3544316894922646
F02,Farmacia Comunale 2 – Via Bologna,F14,Farmacia Mastellari – Via Ripagrande,2.4284697076098487
F02,Farmacia Comunale 2 – Via Bologna,F15,Farmacia Mazzini – Piazza Mazzini,0.7552490205457703
F02,Farmacia Comunale 2 – Via Bologna,F16,Farmacia Modonesi – Via Palestro,2.679718996332757
