PHARMACIES: [F01, F02, F03, F04, F05, F06, F07, F08, F09, F10, F11, F12, F13, F14, F15, F16, F17, F18, F19, F20, F21, F22, F23, F24, F25, F26, F27, F28]

DIST: [
	0.000 1.334 1.876 0.289 0.225 0.389 0.913 1.487 0.718 1.547 2.256 0.561 1.017 1.137 0.682 1.543 0.759 2.186 0.123 2.068 1.818 0.855 2.074 0.531 1.674 1.913 0.301 2.546
	0.000 0.000 1.078 1.615 1.110 1.094 2.233 2.142 1.322 2.875 3.583 1.741 0.354 2.428 0.755 2.680 1.809 3.130 1.379 0.782 2.374 2.178 0.820 1.407 1.902 1.672 1.112 2.800
	0.000 0.000 0.000 2.151 1.683 1.842 2.748 1.821 2.202 3.331 4.020 1.998 1.311 2.685 1.214 2.681 2.566 2.867 1.847 0.872 3.358 2.543 1.570 1.608 2.941 0.806 1.807 2.035
	0.000 0.000 0.000 0.000 0.512 0.588 0.625 1.548 0.780 1.261 1.970 0.520 1.288 0.923 0.969 1.413 0.604 2.113 0.307 2.356 1.731 0.612 2.334 0.681 1.685 2.132 0.528 2.654
	0.000 0.000 0.000 0.000 0.000 0.297 1.136 1.520 0.707 1.772 2.481 0.712 0.799 1.343 0.473 1.704 0.897 2.304 0.282 1.844 1.875 1.072 1.859 0.547 1.659 1.790 0.204 2.524
	0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.815 0.420 1.811 2.512 0.948 0.745 1.502 0.645 1.932 0.738 2.569 0.502 1.868 1.606 1.200 1.759 0.841 1.363 2.040 0.096 2.818
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.807 1.194 0.645 1.351 0.842 1.898 0.649 1.589 1.283 0.718 2.054 0.909 2.980 1.736 0.389 2.924 1.180 1.897 2.634 1.127 2.943
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.201 2.126 2.676 1.040 2.026 1.344 1.475 1.000 2.150 1.049 1.367 2.534 3.277 1.432 2.952 0.974 3.160 1.225 1.719 1.137
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.805 2.474 1.256 0.973 1.679 1.044 2.193 0.549 2.881 0.841 2.102 1.191 1.354 1.838 1.231 0.959 2.454 0.504 3.230
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.709 1.346 2.542 0.782 2.212 1.317 1.281 2.048 1.528 3.615 2.081 0.794 3.568 1.728 2.376 3.124 1.771 3.225
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.023 3.248 1.376 2.918 1.740 1.932 2.347 2.235 4.324 2.532 1.477 4.266 2.412 2.925 3.760 2.477 3.711
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.476 0.708 0.993 0.992 1.115 1.628 0.448 2.394 2.249 0.552 2.534 0.392 2.192 1.798 0.857 2.164
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.139 0.555 2.447 1.454 2.960 1.078 1.136 2.063 1.871 1.062 1.184 1.630 1.775 0.772 2.811
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.692 0.637 1.307 1.410 1.062 3.100 2.381 0.328 3.201 1.094 2.496 2.384 1.429 2.448
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.925 1.353 2.408 0.684 1.415 2.234 1.467 1.567 0.653 1.919 1.417 0.597 2.323
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.898 0.773 1.437 3.252 3.002 0.922 3.492 1.273 3.072 2.201 1.844 1.971
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.643 0.849 2.590 1.138 0.985 2.381 1.263 1.190 2.670 0.760 3.257
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.068 3.577 3.763 1.686 3.949 1.791 3.796 2.211 2.474 1.550
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.092 1.929 0.799 2.140 0.420 1.796 1.836 0.410 2.433
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.104 2.882 0.775 2.020 2.588 1.673 1.877 2.900
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.080 2.618 2.348 0.594 3.645 1.680 4.363
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.928 0.936 2.172 2.339 1.133 2.566
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.219 2.048 2.320 1.807 3.518
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.190 1.465 0.745 2.015
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.331 1.454 4.181
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.971 1.229
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.728
	0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
]
